key,conn,conn_head_sem_class,frequency,conn_total_count
however+Comparison,however,Comparison,116,1201
and+Comparison.Contrast.Juxtaposition,and,Comparison.Contrast.Juxtaposition,32,4477
in other words+Expansion.Restatement.Generalization,in other words,Expansion.Restatement.Generalization,28,271
in the end+Contingency.Cause.Result,in the end,Contingency.Cause.Result,7,65
also+Expansion.Conjunction,also,Expansion.Conjunction,2188,2206
after+Temporal.Asynchronous.Succession,after,Temporal.Asynchronous.Succession,587,651
but+Contingency.Cause.Result,but,Contingency.Cause.Result,5,4102
separately+Expansion.Conjunction,separately,Expansion.Conjunction,76,81
still+Comparison.Concession.Contra-expectation,still,Comparison.Concession.Contra-expectation,83,203
so that+Contingency.Cause.Result,so that,Contingency.Cause.Result,33,33
furthermore+Expansion.Conjunction,furthermore,Expansion.Conjunction,351,358
by comparison+Comparison.Contrast,by comparison,Comparison.Contrast,50,211
insofar as+Contingency.Cause.Reason,insofar as,Contingency.Cause.Reason,4,5
insofar as+Expansion.Restatement.Specification,insofar as,Expansion.Restatement.Specification,1,5
in particular+Expansion.Restatement.Specification,in particular,Expansion.Restatement.Specification,575,645
or+Expansion.Alternative.Conjunctive,or,Expansion.Alternative.Conjunctive,51,111
although+Comparison.Concession.Expectation,although,Comparison.Concession.Expectation,152,536
moreover+Expansion.Conjunction,moreover,Expansion.Conjunction,189,191
though+Comparison.Contrast,though,Comparison.Contrast,106,325
while+Comparison,while,Comparison,23,1550
and+Contingency.Cause.Result,and,Contingency.Cause.Result,182,4477
therefore+Contingency.Cause.Result,therefore,Contingency.Cause.Result,140,142
or+Expansion.Alternative.Disjunctive,or,Expansion.Alternative.Disjunctive,12,111
although+Comparison,although,Comparison,34,536
instead+Expansion.Alternative.Chosen alternative,instead,Expansion.Alternative.Chosen alternative,213,253
on the other hand+Comparison,on the other hand,Comparison,2,73
however+Comparison.Contrast,however,Comparison.Contrast,647,1201
though+Comparison.Concession.Contra-expectation,though,Comparison.Concession.Contra-expectation,45,325
rather+Comparison.Contrast,rather,Comparison.Contrast,33,153
indeed+Expansion.Restatement,indeed,Expansion.Restatement,73,505
as+Temporal.Synchrony,as,Temporal.Synchrony,570,1370
until+Temporal.Asynchronous.Precedence,until,Temporal.Asynchronous.Precedence,133,164
if+Contingency.Condition.General,if,Contingency.Condition.General,178,1234
in fact+Expansion.Restatement.Generalization,in fact,Expansion.Restatement.Generalization,7,944
as+Contingency.Cause.Reason,as,Contingency.Cause.Reason,684,1370
when+Comparison.Contrast.Juxtaposition,when,Comparison.Contrast.Juxtaposition,1,1215
nonetheless+Comparison,nonetheless,Comparison,5,34
unless+Expansion.Alternative.Disjunctive,unless,Expansion.Alternative.Disjunctive,94,95
meanwhile+Temporal.Synchrony,meanwhile,Temporal.Synchrony,269,655
but+Comparison.Contrast.Opposition,but,Comparison.Contrast.Opposition,216,4102
yet+Comparison.Concession.Contra-expectation,yet,Comparison.Concession.Contra-expectation,35,109
in other words+Expansion.Restatement,in other words,Expansion.Restatement,37,271
on the other hand+Comparison.Contrast,on the other hand,Comparison.Contrast,29,73
however+Comparison.Contrast.Juxtaposition,however,Comparison.Contrast.Juxtaposition,209,1201
because+Expansion.Restatement.Specification,because,Expansion.Restatement.Specification,56,2847
whereas+Comparison.Contrast,whereas,Comparison.Contrast,21,82
in contrast+Comparison.Contrast,in contrast,Comparison.Contrast,13,28
in fact+Contingency.Pragmatic cause.Justification,in fact,Contingency.Pragmatic cause.Justification,9,944
though+Comparison.Contrast.Juxtaposition,though,Comparison.Contrast.Juxtaposition,47,325
when+Contingency.Condition.General,when,Contingency.Condition.General,164,1215
however+Comparison.Concession.Contra-expectation,however,Comparison.Concession.Contra-expectation,132,1201
and+Expansion.List,and,Expansion.List,563,4477
in fact+Comparison.Contrast,in fact,Comparison.Contrast,5,944
if+Contingency.Pragmatic condition.Relevance,if,Contingency.Pragmatic condition.Relevance,20,1234
since+Temporal.Asynchronous.Succession,since,Temporal.Asynchronous.Succession,88,415
but+Comparison,but,Comparison,321,4102
since+Contingency.Cause.Reason,since,Contingency.Cause.Reason,309,415
on the contrary+Expansion.Restatement.Specification,on the contrary,Expansion.Restatement.Specification,1,15
after+Contingency.Cause.Reason,after,Contingency.Cause.Reason,59,651
earlier+Temporal.Asynchronous.Succession,earlier,Temporal.Asynchronous.Succession,40,41
but+Expansion.Conjunction,but,Expansion.Conjunction,136,4102
still+Comparison.Contrast,still,Comparison.Contrast,72,203
if+Contingency.Condition.Unreal present,if,Contingency.Condition.Unreal present,122,1234
on the contrary+Comparison.Contrast,on the contrary,Comparison.Contrast,8,15
then+Expansion.Conjunction,then,Expansion.Conjunction,17,760
in sum+Expansion.Restatement.Generalization,in sum,Expansion.Restatement.Generalization,24,42
when+Contingency.Cause.Reason,when,Contingency.Cause.Reason,111,1215
rather+Expansion.Alternative.Chosen alternative,rather,Expansion.Alternative.Chosen alternative,68,153
yet+Comparison,yet,Comparison,13,109
indeed+Expansion.Restatement.Generalization,indeed,Expansion.Restatement.Generalization,23,505
then+Contingency.Cause.Result,then,Contingency.Cause.Result,18,760
in fact+Expansion,in fact,Expansion,29,944
similarly+Expansion.Conjunction,similarly,Expansion.Conjunction,83,86
first+Expansion.List,first,Expansion.List,8,27
then+Expansion.List,then,Expansion.List,5,760
but+Comparison.Concession.Contra-expectation,but,Comparison.Concession.Contra-expectation,563,4102
then+Expansion.Restatement.Specification,then,Expansion.Restatement.Specification,5,760
similarly+Expansion,similarly,Expansion,1,86
for instance+Expansion.Restatement.Specification,for instance,Expansion.Restatement.Specification,26,695
if+Contingency.Pragmatic condition.Implicit assertion,if,Contingency.Pragmatic condition.Implicit assertion,29,1234
then+Comparison.Contrast,then,Comparison.Contrast,2,760
simultaneously+Temporal.Synchrony,simultaneously,Temporal.Synchrony,9,10
although+Comparison.Concession.Contra-expectation,although,Comparison.Concession.Contra-expectation,45,536
when+Temporal,when,Temporal,8,1215
indeed+Expansion.Conjunction,indeed,Expansion.Conjunction,174,505
in short+Expansion.Restatement.Generalization,in short,Expansion.Restatement.Generalization,79,158
in the end+Expansion,in the end,Expansion,9,65
indeed+Contingency.Pragmatic cause.Justification,indeed,Contingency.Pragmatic cause.Justification,9,505
by contrast+Comparison.Contrast,by contrast,Comparison.Contrast,69,174
because+Contingency.Pragmatic cause.Justification,because,Contingency.Pragmatic cause.Justification,39,2847
indeed+Expansion.Restatement.Equivalence,indeed,Expansion.Restatement.Equivalence,39,505
meanwhile+Comparison.Contrast.Juxtaposition,meanwhile,Comparison.Contrast.Juxtaposition,53,655
when+Temporal.Asynchronous.Succession,when,Temporal.Asynchronous.Succession,240,1215
further+Expansion.Conjunction,further,Expansion.Conjunction,66,67
later+Temporal.Asynchronous.Precedence,later,Temporal.Asynchronous.Precedence,103,106
in addition+Comparison.Contrast,in addition,Comparison.Contrast,1,418
ultimately+Expansion.Conjunction,ultimately,Expansion.Conjunction,6,51
ultimately+Temporal.Asynchronous.Precedence,ultimately,Temporal.Asynchronous.Precedence,21,51
in other words+Expansion.Restatement.Equivalence,in other words,Expansion.Restatement.Equivalence,180,271
meanwhile+Temporal,meanwhile,Temporal,3,655
on the other hand+Comparison.Contrast.Juxtaposition,on the other hand,Comparison.Contrast.Juxtaposition,27,73
in response+Expansion.Conjunction,in response,Expansion.Conjunction,1,1
regardless+Comparison.Contrast,regardless,Comparison.Contrast,2,4
if+Contingency.Condition.Unreal past,if,Contingency.Condition.Unreal past,53,1234
while+Temporal,while,Temporal,2,1550
in the end+Expansion.Conjunction,in the end,Expansion.Conjunction,20,65
either or+Expansion.Alternative,either or,Expansion.Alternative,1,4
in fact+Expansion.Restatement,in fact,Expansion.Restatement,7,944
on the whole+Expansion.Restatement.Generalization,on the whole,Expansion.Restatement.Generalization,17,48
in addition+Expansion.Restatement.Specification,in addition,Expansion.Restatement.Specification,1,418
first+Expansion.Restatement.Specification,first,Expansion.Restatement.Specification,13,27
indeed+Expansion.Restatement.Specification,indeed,Expansion.Restatement.Specification,146,505
as a matter of fact+Expansion.Conjunction,as a matter of fact,Expansion.Conjunction,1,1
furthermore+Comparison.Contrast,furthermore,Comparison.Contrast,1,358
or+Expansion.Conjunction,or,Expansion.Conjunction,5,111
likewise+Expansion.Conjunction,likewise,Expansion.Conjunction,26,26
by comparison+Expansion.Conjunction,by comparison,Expansion.Conjunction,4,211
in the end+Temporal.Asynchronous.Precedence,in the end,Temporal.Asynchronous.Precedence,6,65
hence+Contingency.Cause.Result,hence,Contingency.Cause.Result,17,18
if+Comparison.Concession.Expectation,if,Comparison.Concession.Expectation,38,1234
but+Comparison.Pragmatic contrast,but,Comparison.Pragmatic contrast,32,4102
on the whole+Expansion.Restatement,on the whole,Expansion.Restatement,11,48
if+Contingency.Condition.Factual present,if,Contingency.Condition.Factual present,76,1234
nevertheless+Comparison.Concession.Contra-expectation,nevertheless,Comparison.Concession.Contra-expectation,32,72
in turn+Expansion.Conjunction,in turn,Expansion.Conjunction,24,71
in other words+Expansion.Restatement.Specification,in other words,Expansion.Restatement.Specification,15,271
rather+Expansion.Restatement.Specification,rather,Expansion.Restatement.Specification,37,153
while+Comparison.Contrast.Opposition,while,Comparison.Contrast.Opposition,108,1550
at the same time+Temporal.Synchrony,at the same time,Temporal.Synchrony,8,14
at the same time+Expansion.Conjunction,at the same time,Expansion.Conjunction,3,14
now+Temporal.Asynchronous.Precedence,now,Temporal.Asynchronous.Precedence,1,1
specifically+Contingency.Cause.Reason,specifically,Contingency.Cause.Reason,2,1177
but+Temporal.Asynchronous.Precedence,but,Temporal.Asynchronous.Precedence,11,4102
in turn+Contingency.Cause.Result,in turn,Contingency.Cause.Result,13,71
once+Contingency.Condition.Hypothetical,once,Contingency.Condition.Hypothetical,3,95
whereas+Comparison.Contrast.Juxtaposition,whereas,Comparison.Contrast.Juxtaposition,45,82
for instance+Comparison.Contrast,for instance,Comparison.Contrast,1,695
for one+Expansion.Instantiation,for one,Expansion.Instantiation,1,1
consequently+Temporal.Asynchronous.Precedence,consequently,Temporal.Asynchronous.Precedence,1,204
in fact+Expansion.Restatement.Equivalence,in fact,Expansion.Restatement.Equivalence,5,944
thus+Temporal.Asynchronous.Precedence,thus,Temporal.Asynchronous.Precedence,1,297
in the end+Expansion.Restatement.Equivalence,in the end,Expansion.Restatement.Equivalence,1,65
in short+Expansion,in short,Expansion,7,158
indeed+Comparison,indeed,Comparison,1,505
in turn+Temporal.Asynchronous.Precedence,in turn,Temporal.Asynchronous.Precedence,27,71
afterward+Temporal.Asynchronous.Precedence,afterward,Temporal.Asynchronous.Precedence,11,11
in short+Expansion.Restatement,in short,Expansion.Restatement,22,158
instead+Comparison.Contrast,instead,Comparison.Contrast,29,253
overall+Expansion.Restatement,overall,Expansion.Restatement,10,43
next+Temporal.Asynchronous.Precedence,next,Temporal.Asynchronous.Precedence,15,16
additionally+Expansion.Conjunction,additionally,Expansion.Conjunction,20,20
since+Expansion.Instantiation,since,Expansion.Instantiation,2,415
when+Comparison.Concession.Expectation,when,Comparison.Concession.Expectation,12,1215
yet+Comparison.Contrast.Juxtaposition,yet,Comparison.Contrast.Juxtaposition,22,109
if and when+Contingency.Condition.General,if and when,Contingency.Condition.General,1,4
while+Comparison.Concession.Expectation,while,Comparison.Concession.Expectation,82,1550
nor+Expansion.Conjunction,nor,Expansion.Conjunction,26,33
whereas+Comparison.Contrast.Opposition,whereas,Comparison.Contrast.Opposition,12,82
that is+Expansion.Restatement,that is,Expansion.Restatement,43,119
as+Contingency.Pragmatic cause.Justification,as,Contingency.Pragmatic cause.Justification,20,1370
alternatively+Expansion.Alternative.Disjunctive,alternatively,Expansion.Alternative.Disjunctive,4,6
even though+Comparison.Contrast,even though,Comparison.Contrast,11,37
ultimately+Expansion.Restatement,ultimately,Expansion.Restatement,8,51
or+Contingency.Pragmatic condition.Implicit assertion,or,Contingency.Pragmatic condition.Implicit assertion,2,111
afterwards+Temporal.Asynchronous.Precedence,afterwards,Temporal.Asynchronous.Precedence,4,4
rather+Comparison.Contrast.Juxtaposition,rather,Comparison.Contrast.Juxtaposition,6,153
nonetheless+Expansion.Conjunction,nonetheless,Expansion.Conjunction,1,34
because+Expansion.Instantiation,because,Expansion.Instantiation,29,2847
indeed+Expansion,indeed,Expansion,18,505
that is+Expansion.Restatement.Specification,that is,Expansion.Restatement.Specification,34,119
although+Expansion.Conjunction,although,Expansion.Conjunction,3,536
still+Temporal.Synchrony,still,Temporal.Synchrony,1,203
yet+Comparison.Contrast,yet,Comparison.Contrast,28,109
moreover+Expansion.Restatement.Specification,moreover,Expansion.Restatement.Specification,1,191
although+Comparison.Contrast.Juxtaposition,although,Comparison.Contrast.Juxtaposition,61,536
when+Temporal.Asynchronous.Precedence,when,Temporal.Asynchronous.Precedence,7,1215
in short+Expansion.Restatement.Equivalence,in short,Expansion.Restatement.Equivalence,22,158
specifically+Expansion.Restatement,specifically,Expansion.Restatement,1,1177
even though+Comparison.Concession.Expectation,even though,Comparison.Concession.Expectation,8,37
in particular+Expansion.Instantiation,in particular,Expansion.Instantiation,62,645
in the end+Expansion.Restatement,in the end,Expansion.Restatement,10,65
after+Comparison.Concession.Expectation,after,Comparison.Concession.Expectation,3,651
even though+Comparison.Concession.Contra-expectation,even though,Comparison.Concession.Contra-expectation,8,37
till+Temporal.Asynchronous.Precedence,till,Temporal.Asynchronous.Precedence,3,3
in contrast+Comparison.Contrast.Juxtaposition,in contrast,Comparison.Contrast.Juxtaposition,12,28
finally+Temporal.Asynchronous.Precedence,finally,Temporal.Asynchronous.Precedence,23,51
otherwise+Expansion.Alternative.Disjunctive,otherwise,Expansion.Alternative.Disjunctive,21,24
until+Contingency.Condition.Hypothetical,until,Contingency.Condition.Hypothetical,18,164
still+Comparison.Contrast.Juxtaposition,still,Comparison.Contrast.Juxtaposition,25,203
although+Expansion.Restatement.Specification,although,Expansion.Restatement.Specification,3,536
as if+Expansion,as if,Expansion,11,16
or+Expansion.Alternative,or,Expansion.Alternative,35,111
nevertheless+Expansion.Conjunction,nevertheless,Expansion.Conjunction,2,72
since+Temporal.Asynchronous.Precedence,since,Temporal.Asynchronous.Precedence,1,415
while+Expansion.List,while,Expansion.List,24,1550
inasmuch as+Contingency.Cause.Reason,inasmuch as,Contingency.Cause.Reason,13,18
thereby+Contingency.Cause.Result,thereby,Contingency.Cause.Result,12,12
nevertheless+Comparison.Contrast.Juxtaposition,nevertheless,Comparison.Contrast.Juxtaposition,9,72
in fact+Comparison.Contrast.Juxtaposition,in fact,Comparison.Contrast.Juxtaposition,10,944
now that+Contingency.Cause.Result,now that,Contingency.Cause.Result,2,31
subsequently+Temporal.Asynchronous.Precedence,subsequently,Temporal.Asynchronous.Precedence,45,50
before and after+Temporal.Asynchronous,before and after,Temporal.Asynchronous,1,1
nonetheless+Comparison.Concession.Contra-expectation,nonetheless,Comparison.Concession.Contra-expectation,20,34
in fact+Expansion.Instantiation,in fact,Expansion.Instantiation,20,944
by contrast+Comparison.Contrast.Juxtaposition,by contrast,Comparison.Contrast.Juxtaposition,78,174
when+Contingency.Condition.Hypothetical,when,Contingency.Condition.Hypothetical,23,1215
and+Comparison.Contrast,and,Comparison.Contrast,5,4477
as+Expansion.Conjunction,as,Expansion.Conjunction,15,1370
although+Comparison.Concession,although,Comparison.Concession,5,536
consequently+Temporal.Synchrony,consequently,Temporal.Synchrony,1,204
if+Contingency.Condition.Factual past,if,Contingency.Condition.Factual past,9,1234
finally+Contingency.Cause.Result,finally,Contingency.Cause.Result,3,51
at the time+Temporal.Synchrony,at the time,Temporal.Synchrony,21,22
in addition+Expansion.List,in addition,Expansion.List,2,418
also+Expansion.List,also,Expansion.List,12,2206
furthermore+Contingency.Cause.Reason,furthermore,Contingency.Cause.Reason,1,358
meantime+Temporal.Synchrony,meantime,Temporal.Synchrony,12,18
also+Expansion.Alternative.Conjunctive,also,Expansion.Alternative.Conjunctive,1,2206
nor+Expansion.Alternative,nor,Expansion.Alternative,2,33
nor+Expansion.Alternative.Conjunctive,nor,Expansion.Alternative.Conjunctive,4,33
in sum+Expansion.Restatement.Equivalence,in sum,Expansion.Restatement.Equivalence,4,42
although+Expansion.Instantiation,although,Expansion.Instantiation,1,536
later+Expansion.Conjunction,later,Expansion.Conjunction,3,106
ultimately+Expansion,ultimately,Expansion,4,51
ultimately+Temporal.Asynchronous.Succession,ultimately,Temporal.Asynchronous.Succession,1,51
if then+Contingency.Condition.Hypothetical,if then,Contingency.Condition.Hypothetical,22,38
finally+Expansion.List,finally,Expansion.List,9,51
while+Comparison.Concession.Contra-expectation,while,Comparison.Concession.Contra-expectation,4,1550
and+Expansion.Restatement.Specification,and,Expansion.Restatement.Specification,7,4477
however+Expansion.Conjunction,however,Expansion.Conjunction,18,1201
by contrast+Comparison.Contrast.Opposition,by contrast,Comparison.Contrast.Opposition,24,174
for one thing+Expansion.Restatement.Specification,for one thing,Expansion.Restatement.Specification,9,25
so+Expansion.Conjunction,so,Expansion.Conjunction,5,1079
so+Expansion.Alternative.Chosen alternative,so,Expansion.Alternative.Chosen alternative,2,1079
because+Expansion.Conjunction,because,Expansion.Conjunction,7,2847
if+Comparison.Concession.Contra-expectation,if,Comparison.Concession.Contra-expectation,7,1234
specifically+Expansion.Instantiation,specifically,Expansion.Instantiation,25,1177
regardless+Comparison.Concession.Contra-expectation,regardless,Comparison.Concession.Contra-expectation,2,4
overall+Expansion,overall,Expansion,1,43
yet+Comparison.Contrast.Opposition,yet,Comparison.Contrast.Opposition,6,109
although+Expansion.List,although,Expansion.List,1,536
rather+Comparison.Contrast.Opposition,rather,Comparison.Contrast.Opposition,3,153
thus+Expansion.Instantiation,thus,Expansion.Instantiation,2,297
thereafter+Temporal.Asynchronous.Precedence,thereafter,Temporal.Asynchronous.Precedence,12,14
on the one hand+Expansion.Instantiation,on the one hand,Expansion.Instantiation,2,4
specifically+Expansion,specifically,Expansion,1,1177
in sum+Expansion.Conjunction,in sum,Expansion.Conjunction,6,42
and+Temporal.Asynchronous.Precedence,and,Temporal.Asynchronous.Precedence,43,4477
however+Comparison.Contrast.Opposition,however,Comparison.Contrast.Opposition,59,1201
although+Comparison.Contrast.Opposition,although,Comparison.Contrast.Opposition,11,536
indeed+Contingency.Cause.Reason,indeed,Contingency.Cause.Reason,7,505
now that+Contingency.Cause.Reason,now that,Contingency.Cause.Reason,18,31
now that+Temporal.Asynchronous.Succession,now that,Temporal.Asynchronous.Succession,4,31
separately+Temporal.Synchrony,separately,Temporal.Synchrony,2,81
on the contrary+Comparison.Contrast.Opposition,on the contrary,Comparison.Contrast.Opposition,3,15
in turn+Comparison.Concession.Contra-expectation,in turn,Comparison.Concession.Contra-expectation,1,71
unless+Contingency.Condition.Hypothetical,unless,Contingency.Condition.Hypothetical,1,95
and+Temporal.Synchrony,and,Temporal.Synchrony,6,4477
as soon as+Temporal.Asynchronous.Succession,as soon as,Temporal.Asynchronous.Succession,11,20
and+Comparison.Contrast.Opposition,and,Comparison.Contrast.Opposition,7,4477
as+Temporal.Asynchronous.Succession,as,Temporal.Asynchronous.Succession,27,1370
ultimately+Contingency.Cause.Reason,ultimately,Contingency.Cause.Reason,1,51
as long as+Temporal.Synchrony,as long as,Temporal.Synchrony,11,31
as long as+Contingency.Condition.Factual present,as long as,Contingency.Condition.Factual present,4,31
meanwhile+Comparison.Contrast.Opposition,meanwhile,Comparison.Contrast.Opposition,11,655
by comparison+Comparison.Contrast.Opposition,by comparison,Comparison.Contrast.Opposition,8,211
meanwhile+Expansion.List,meanwhile,Expansion.List,12,655
by comparison+Expansion.List,by comparison,Expansion.List,1,211
when+Expansion.Restatement.Specification,when,Expansion.Restatement.Specification,8,1215
thus+Expansion.Restatement.Specification,thus,Expansion.Restatement.Specification,6,297
except+Expansion.Exception,except,Expansion.Exception,9,10
although+Expansion.Exception,although,Expansion.Exception,1,536
as+Expansion.Instantiation,as,Expansion.Instantiation,6,1370
rather+Expansion.Restatement.Equivalence,rather,Expansion.Restatement.Equivalence,1,153
specifically+Expansion.Conjunction,specifically,Expansion.Conjunction,7,1177
indeed+Expansion.Instantiation,indeed,Expansion.Instantiation,11,505
since+Expansion.Restatement.Specification,since,Expansion.Restatement.Specification,8,415
in fact+Contingency.Cause.Reason,in fact,Contingency.Cause.Reason,5,944
ultimately+Expansion.Restatement.Generalization,ultimately,Expansion.Restatement.Generalization,2,51
in short+Expansion.Restatement.Specification,in short,Expansion.Restatement.Specification,19,158
instead+Expansion.Instantiation,instead,Expansion.Instantiation,1,253
in the end+Expansion.Restatement.Generalization,in the end,Expansion.Restatement.Generalization,5,65
however+Temporal.Asynchronous.Succession,however,Temporal.Asynchronous.Succession,2,1201
first+Expansion.Instantiation,first,Expansion.Instantiation,1,27
indeed+Temporal.Asynchronous.Succession,indeed,Temporal.Asynchronous.Succession,1,505
still+Comparison,still,Comparison,9,203
specifically+Expansion.Restatement.Equivalence,specifically,Expansion.Restatement.Equivalence,4,1177
rather+Expansion.Exception,rather,Expansion.Exception,1,153
neither nor+Expansion.Conjunction,neither nor,Expansion.Conjunction,1,3
overall+Expansion.Conjunction,overall,Expansion.Conjunction,15,43
for one thing+Contingency.Cause.Reason,for one thing,Contingency.Cause.Reason,7,25
as a result+Expansion.Instantiation,as a result,Expansion.Instantiation,1,362
since then+Temporal.Asynchronous.Precedence,since then,Temporal.Asynchronous.Precedence,5,5
subsequently+Temporal.Asynchronous.Succession,subsequently,Temporal.Asynchronous.Succession,1,50
lest+Contingency.Condition.Hypothetical,lest,Contingency.Condition.Hypothetical,1,2
that is+Expansion.Restatement.Equivalence,that is,Expansion.Restatement.Equivalence,28,119
first+Temporal.Asynchronous.Succession,first,Temporal.Asynchronous.Succession,1,27
as though+Expansion.Restatement.Specification,as though,Expansion.Restatement.Specification,2,5
if+Contingency.Condition,if,Contingency.Condition,2,1234
on the whole+Expansion.Conjunction,on the whole,Expansion.Conjunction,10,48
as+Expansion.Restatement.Specification,as,Expansion.Restatement.Specification,32,1370
soon+Temporal.Asynchronous.Precedence,soon,Temporal.Asynchronous.Precedence,1,1
as it turns out+Contingency.Cause.Result,as it turns out,Contingency.Cause.Result,1,2
finally+Expansion.Conjunction,finally,Expansion.Conjunction,13,51
but+Expansion.Exception,but,Expansion.Exception,2,4102
furthermore+Contingency.Cause.Result,furthermore,Contingency.Cause.Result,1,358
because+Temporal.Asynchronous.Succession,because,Temporal.Asynchronous.Succession,4,2847
nonetheless+Comparison.Contrast,nonetheless,Comparison.Contrast,5,34
thereafter+Temporal.Asynchronous.Succession,thereafter,Temporal.Asynchronous.Succession,1,14
since+Contingency.Pragmatic cause.Justification,since,Contingency.Pragmatic cause.Justification,5,415
in turn+Expansion.Restatement.Specification,in turn,Expansion.Restatement.Specification,1,71
and+Temporal.Asynchronous.Succession,and,Temporal.Asynchronous.Succession,1,4477
in fact+Contingency.Cause.Result,in fact,Contingency.Cause.Result,6,944
for one thing+Expansion.Instantiation,for one thing,Expansion.Instantiation,7,25
whereas+Temporal.Asynchronous.Precedence,whereas,Temporal.Asynchronous.Precedence,1,82
so+Comparison.Contrast,so,Comparison.Contrast,1,1079
now that+Temporal.Synchrony,now that,Temporal.Synchrony,6,31
until+Temporal.Asynchronous.Succession,until,Temporal.Asynchronous.Succession,7,164
conversely+Comparison.Contrast,conversely,Comparison.Contrast,2,2
also+Temporal.Synchrony,also,Temporal.Synchrony,2,2206
even though+Comparison.Contrast.Juxtaposition,even though,Comparison.Contrast.Juxtaposition,2,37
separately+Expansion.Alternative,separately,Expansion.Alternative,1,81
if then+Contingency.Condition.Factual present,if then,Contingency.Condition.Factual present,9,38
when+Comparison.Contrast.Opposition,when,Comparison.Contrast.Opposition,2,1215
furthermore+Expansion.Restatement.Specification,furthermore,Expansion.Restatement.Specification,2,358
and+Expansion.Instantiation,and,Expansion.Instantiation,2,4477
so+Expansion.Instantiation,so,Expansion.Instantiation,1,1079
once+Contingency.Cause.Reason,once,Contingency.Cause.Reason,7,95
by contrast+Expansion.Alternative,by contrast,Expansion.Alternative,1,174
also+Expansion.Restatement.Specification,also,Expansion.Restatement.Specification,1,2206
hence+Expansion.Instantiation,hence,Expansion.Instantiation,1,18
in the end+Comparison.Contrast.Juxtaposition,in the end,Comparison.Contrast.Juxtaposition,1,65
if+Expansion.Restatement.Specification,if,Expansion.Restatement.Specification,2,1234
in the end+Expansion.Restatement.Specification,in the end,Expansion.Restatement.Specification,5,65
so+Expansion.Alternative,so,Expansion.Alternative,1,1079
if+Comparison.Contrast.Juxtaposition,if,Comparison.Contrast.Juxtaposition,5,1234
however+Expansion.Restatement.Specification,however,Expansion.Restatement.Specification,4,1201
otherwise+Expansion.Exception,otherwise,Expansion.Exception,2,24
instead+Expansion.Conjunction,instead,Expansion.Conjunction,1,253
and+Contingency.Condition.Hypothetical,and,Contingency.Condition.Hypothetical,2,4477
so+Contingency.Cause.Reason,so,Contingency.Cause.Reason,2,1079
